row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,31/12/2019,01/01/2019,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019
A - TÀI SẢN NGẢN HẠN,A - TÀI SẢN NGẢN HẠN,A - TÀI SẢN NGẢN HẠN,100,,668.970.368.279,681.607.950.949,100.0,,668970368279.0,681607950949.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,19.293.115.973,24.860.192.738,110.0,,19293115973.0,24860192738.0
1. Tiền,1. Tiền,1. Tiền,111,5,19.293.115.973,24.860.192.738,111.0,5.0,19293115973.0,24860192738.0
II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,130,,649.130.332.629,655.732.218.850,130.0,,649130332629.0,655732218850.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,13.162.340.265,11.370.244.965,131.0,6.0,13162340265.0,11370244965.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,7,599.206.686.754,640.441.316.842,132.0,7.0,599206686754.0,640441316842.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,36.761.305.610,3.920.657.043,136.0,8.0,36761305610.0,3920657043.0
III. Tài sản ngắn hạn khác,III. Tài sản ngắn hạn khác,III. Tài sản ngắn hạn khác,150,,546.919.677,1.015.539.361,150.0,,546919677.0,1015539361.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,9,545.527.677,756.719.526,151.0,9.0,545527677.0,756719526.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,1.392.000,258.819.835,152.0,,1392000.0,258819835.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,730.775.484.255,732.199.237.800,200.0,,730775484255.0,732199237800.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,516.656.437.000,517.425.101.000,210.0,,516656437000.0,517425101000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,8,516.656.437.000,517.425.101.000,216.0,8.0,516656437000.0,517425101000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,72.730.052,618.419.330,220.0,,72730052.0,618419330.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,10,11.281.302,483.232.080,221.0,10.0,11281302.0,483232080.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,2.985.914.820,2.985.914.820,222.0,,2985914820.0,2985914820.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(2.974.633.518),(2.502.682.740),223.0,,-2974633518.0,-2502682740.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,11,61.448.750,135.187.250,227.0,11.0,61448750.0,135187250.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,221.215.500,221.215.500,228.0,,221215500.0,221215500.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(159.766.750),(86.028.250),229.0,,-159766750.0,-86028250.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,213.726.643.054,213.639.826.854,240.0,,213726643054.0,213639826854.0
"1. Chỉ phí sản xuất, KD dở dang dài hạn","1. Chỉ phí sản xuất, KD dở dang dài hạn","1. Chỉ phí sản xuất, KD dở dang dài hạn",241,,599.989.498,599.989.498,241.0,,599989498.0,599989498.0
2. Chỉ phí xây dựng cơ bản dở dang,2. Chỉ phí xây dựng cơ bản dở dang,2. Chỉ phí xây dựng cơ bản dở dang,242,12,213.126.653.556,213.039.837.356,242.0,12.0,213126653556.0,213039837356.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,319.674.149,515.890.616,260.0,,319674149.0,515890616.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,9,319.674.149,515.890.616,261.0,9.0,319674149.0,515890616.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,1.399.745.852.534,1.413.807.188.749,270.0,,1399745852534.0,1413807188749.0
