row_label_raw,row_label_full,Chỉ tiêu > Năm trước,Dịch vụ vận tải VND,Dịch vụ hàng hải dầu khí VND,Thương mại VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__Dịch vụ hàng hải dầu khí VND,numeric__Thương mại VND,numeric__Tổng VND
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.556.452.800.457,978.325.616.393,19.581.915.823,2.554.360.332.673,1556452800457.0,978325616393.0,19581915823.0,2554360332673.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.556.452.800.457,978.325.616.393,19.581.915.823,2.554.360.332.673,1556452800457.0,978325616393.0,19581915823.0,2554360332673.0
Giá vốn,Giá vốn,Giá vốn,,,,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,1.238.222.204.939,834.865.837.856,18.221.948.999,2.091.309.991.794,1238222204939.0,834865837856.0,18221948999.0,2091309991794.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,1.238.222.204.939,834.865.837.856,18.221.948.999,2.091.309.991.794,1238222204939.0,834865837856.0,18221948999.0,2091309991794.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,318.230.595.518,143.459.778.537,1.359.966.824,463.050.340.879,318230595518.0,143459778537.0,1359966824.0,463050340879.0
Chi phí không phân bố,Kết quả hoạt động kinh doanh > Chi phí không phân bố,Chi phí không phân bố,,,,(59.045.070.803),,,,-59045070803.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,404.005.270.076,,,,404005270076.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,205.906.905.586,,,,205906905586.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,30.802.493.268,,,,30802493268.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(58.765.235.710),,,,-58765235710.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,581.949.433.220,,,,581949433220.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(100.104.965.565),,,,-100104965565.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,1.486.836.667,,,,1486836667.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,483.331.304.322,,,,483331304322.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,170.629.141.918,,,,170629141918.0
Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,,,,
