row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.741.945.250.000,10.420.226.000,81.606.382.163,230.989.078.516,3.064.960.936.679,2741945250000.0,10420226000.0,81606382163.0,230989078516.0,3064960936679.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,114.614.444.510,114.614.444.510,,,,114614444510.0,114614444510.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,(6.822.942.663),(6.822.942.663),,,,-6822942663.0,-6822942663.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(219.355.620.000),(219.355.620.000),,,,-219355620000.0,-219355620000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.741.945.250.000,10.420.226.000,81.606.382.163,119.424.960.363,2.953.396.818.526,2741945250000.0,10420226000.0,81606382163.0,119424960363.0,2953396818526.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.741.945.250.000,10.420.226.000,81.606.382.163,119.424.960.363,2.953.396.818.526,2741945250000.0,10420226000.0,81606382163.0,119424960363.0,2953396818526.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,119.902.265.925,119.902.265.925,,,,119902265925.0,119902265925.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,(3.438.433.335),(3.438.433.335),,,,-3438433335.0,-3438433335.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(109.677.810.000),(109.677.810.000),,,,-109677810000.0,-109677810000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.741.945.250.000,10.420.226.000,81.606.382.163,126.210.982.953,2.960.182.841.116,2741945250000.0,10420226000.0,81606382163.0,126210982953.0,2960182841116.0
