row_label_raw,row_label_full,col_0,31/12/2020triệu đồng,31/12/2019triệu đồng,numeric__31/12/2020triệu đồng,numeric__31/12/2019triệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,162.968,81.864,162968.0,81864.0
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,238.836.419,155.723.464,238836419.0,155723464.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,765.136,5.949.719,765136.0,5949719.0
- Cam kết bản ngoại tệ,- Cam kết bản ngoại tệ,- Cam kết bản ngoại tệ,621.915,6.416.536,621915.0,6416536.0
- Cam kết mua giao dịch hoán đối ngoại tệ,- Cam kết mua giao dịch hoán đối ngoại tệ,- Cam kết mua giao dịch hoán đối ngoại tệ,118.705.065,71.691.021,118705065.0,71691021.0
- Cam kết bản giao dịch hoán đối ngoại tệ,- Cam kết bản giao dịch hoán đối ngoại tệ,- Cam kết bản giao dịch hoán đối ngoại tệ,118.744.303,71.666.188,118744303.0,71666188.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,29.182.376,21.340.471,29182376.0,21340471.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,84.636.987,76.678.646,84636987.0,76678646.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,75.541.892,35.334.273,75541892.0,35334273.0
Tổng cộng,Tổng cộng,Tổng cộng,428.360.642,289.158.718,428360642.0,289158718.0
