row_label_raw,row_label_full,Tên,Chúc vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Chúc vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch,180.000.000,180.000.000,,180000000.0,180000000.0
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Phó Chủ tịch HĐQT/Tổng Giám đốc,704.460.038,599.966.078,,704460038.0,599966078.0
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên HĐQT,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên HĐQT/Phó Tổng Giám đốc,514.547.076,430.035.845,,514547076.0,430035845.0
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Phó Tổng Giám đốc,589.073.038,483.202.001,,589073038.0,483202001.0
Bà Đặng Thị Quỳnh Phương,Bà Đặng Thị Quỳnh Phương,Bà Đặng Thị Quỳnh Phương,Phó Tổng Giám đốc,308.477.385,347.945.538,,308477385.0,347945538.0
Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Phó Tổng Giám đốc,175.480.654,-,,175480654.0,
Ông Ngô Văn Thu,Ông Ngô Văn Thu,Ông Ngô Văn Thu,Phó Tổng Giám đốc,410.839.981,112.283.346,,410839981.0,112283346.0
Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Trường Ban Kiểm soát,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Thành viên Ban Kiểm soát,72.000.000,72.000.000,,72000000.0,72000000.0
Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Thành viên Ban Kiểm soát,72.000.000,72.000.000,,72000000.0,72000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,3.266.878.172,2.537.432.808,,3266878172.0,2537432808.0
