row_label_raw,row_label_full,2018,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,Tài sảncố định khácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sảncố định khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,227.378.410.654,172.289.098.645,106.577.472.457,1.425.127.387,507.670.109.143,227378410654.0,172289098645.0,106577472457.0,1425127387.0,507670109143.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,833.722.324,20.069.397.120,1.105.362.000,-,22.008.481.444,833722324.0,20069397120.0,1105362000.0,,22008481444.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,2.605.099.700,12.510.319.733,6.132.673.000,-,21.248.092.433,2605099700.0,12510319733.0,6132673000.0,,21248092433.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(624.631.406),(299.198.040),(2.943.976.661),-,(3.867.806.107),-624631406.0,-299198040.0,-2943976661.0,,-3867806107.0
Chuyển sang tài sản có khác,Nguyên giá > Chuyển sang tài sản có khác,Chuyển sang tài sản có khác,15.000.000.000,-,-,-,15.000.000.000,15000000000.0,,,,15000000000.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,3.590.489.830,(3.590.489.830),-,-,,3590489830.0,-3590489830.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,245.192.601.272,208.160.107.288,107.281.040.966,1.425.127.387,562.058.876.913,245192601272.0,208160107288.0,107281040966.0,1425127387.0,562058876913.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,67.286.878.434,104.508.983.671,74.979.193.328,1.391.211.517,248.166.266.950,67286878434.0,104508983671.0,74979193328.0,1391211517.0,248166266950.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,9.349.403.201,20.881.671.094,7.364.966.237,33.915.870,37.629.956.402,9349403201.0,20881671094.0,7364966237.0,33915870.0,37629956402.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(43.141.804),(299.198.040),(2.602.348.325),-,(2.944.688.169),-43141804.0,-299198040.0,-2602348325.0,,-2944688169.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,3.590.489.830,(3.590.489.830),-,-,,3590489830.0,-3590489830.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,76.593.139.831,128.681.946.555,76.151.321.410,1.425.127.387,282.851.535.183,76593139831.0,128681946555.0,76151321410.0,1425127387.0,282851535183.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,160.091.532.220,67.780.114.974,31.598.279.129,33.915.870,259.503.842.193,160091532220.0,67780114974.0,31598279129.0,33915870.0,259503842193.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,168.599.461.441,79.478.160.733,31.129.719.556,-,279.207.341.730,168599461441.0,79478160733.0,31129719556.0,,279207341730.0
