row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Quá hạn > Quá hạn trên3 thángVND,Quá hạn > Quá hạn đến3 thángVND,Quá hạn > Đến 1 thángVND,Trong hạn > Từ trên 1 đến3 thángVND,Trong hạn > Từ trên 3 đến12 thángVND,Trong hạn > Từ trên 1 đến5 nămVND,Trong hạn > Trên 5 nămVND,Trong hạn > TổngVND,numeric__Quá hạn > Quá hạn trên3 thángVND,numeric__Quá hạn > Quá hạn đến3 thángVND,numeric__Quá hạn > Đến 1 thángVND,numeric__Trong hạn > Từ trên 1 đến3 thángVND,numeric__Trong hạn > Từ trên 3 đến12 thángVND,numeric__Trong hạn > Từ trên 1 đến5 nămVND,numeric__Trong hạn > Trên 5 nămVND,numeric__Trong hạn > TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,712.715.793.026,-,-,-,-,712.715.793.026,,,712715793026.0,,,,,712715793026.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.072.665.956.459,-,-,-,-,2.072.665.956.459,,,2072665956459.0,,,,,2072665956459.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,8.994.496.595.283,7.864.504.628.980,634.692.473.496,-,-,17.493.693.697.759,,,8994496595283.0,7864504628980.0,634692473496.0,,,17493693697759.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,-,496.581.000.000,-,-,496.581.000.000,,,,,496581000000.0,,,496581000000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,28.825.044.908,26.924.059.999,15.053.870.000,-,-,70.802.974.907,,,28825044908.0,26924059999.0,15053870000.0,,,70802974907.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.309.236.814.631,1.243.068.444.191,2.723.048.178.044,5.058.476.537.058,12.945.078.488.017,20.085.402.714.906,27.726.429.894.876,71.090.741.071.723,1309236814631.0,1243068444191.0,2723048178044.0,5058476537058.0,12945078488017.0,20085402714906.0,27726429894876.0,71090741071723.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,1.000.008.455.697,250.416.159.511,3.251.746.753.101,9.617.616.609.818,8.814.339.450.603,22.934.127.428.730,,,1000008455697.0,250416159511.0,3251746753101.0,9617616609818.0,8814339450603.0,22934127428730.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,49.540.000.000,49.540.000.000,,,,,,,49540000000.0,49540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,594.784.444.540,594.784.444.540,,,,,,,594784444540.0,594784444540.0
