row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2019,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,712.715.793.026,-,-,-,-,-,-,712.715.793.026,,712715793026.0,,,,,,,712715793026.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.072.665.956.459,-,-,-,-,-,2.072.665.956.459,,,2072665956459.0,,,,,,2072665956459.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,8.994.496.595.283,7.864.504.628.980,634.692.473.496,-,-,-,17.493.693.697.759,,,8994496595283.0,7864504628980.0,634692473496.0,,,,17493693697759.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,-,-,496.581.000.000,-,-,496.581.000.000,,,,,,496581000000.0,,,496581000000.0
Các công cụ tài chính phải sinhvá các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvá các tài sản tài chính khác,Các công cụ tài chính phải sinhvá các tài sản tài chính khác,-,70.802.974.907,-,-,-,-,-,-,70.802.974.907,,70802974907.0,,,,,,,70802974907.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.552.305.258.822,-,14.629.524.196.163,25.879.684.413.292,19.471.338.409.934,4.650.788.261.188,3.907.100.532.324,-,71.090.741.071.723,2552305258822.0,,14629524196163.0,25879684413292.0,19471338409934.0,4650788261188.0,3907100532324.0,,71090741071723.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,1.113.655.828.730,1.000.000.000.000,250.000.000.000,2.142.000.000.000,1.618.805.000.000,8.754.000.000.000,8.055.666.600.000,22.934.127.428.730,,1113655828730.0,1000000000000.0,250000000000.0,2142000000000.0,1618805000000.0,8754000000000.0,8055666600000.0,22934127428730.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,49.540.000.000,-,-,-,-,-,-,49.540.000.000,,49540000000.0,,,,,,,49540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,594.784.444.540,-,-,-,-,-,-,594.784.444.540,,594784444540.0,,,,,,,594784444540.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,4.800.000.000,3.523.866.259.701,-,-,-,-,-,-,3.528.666.259.701,4800000000.0,3523866259701.0,,,,,,,3528666259701.0
