row_label_raw,row_label_full,Công ty,Địa điểm,Tình trạng,Ngành nghề kinh doanh,Tỷ lệ lợi ích %,Tỷ lệ biểu quyết %,numeric__Địa điểm,numeric__Tình trạng,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích %,numeric__Tỷ lệ biểu quyết %
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
"Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín (""Dịch vụ Địa ốc Sài Gòn"")","Công ty con > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín (""Dịch vụ Địa ốc Sài Gòn"")","Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín (""Dịch vụ Địa ốc Sài Gòn"")","Thành phố Hồ Chí Minh (""TPHCM"")",Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
"Công ty Cổ phần Năng lượng Thương Tín (""Năng lượng"")","Công ty con > Công ty Cổ phần Năng lượng Thương Tín (""Năng lượng"")","Công ty Cổ phần Năng lượng Thương Tín (""Năng lượng"")",TPHCM,Đang trong quá trình giải thể,Sản xuất,"52,00","52,00",,,,52.0,52.0
"Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn (""Đông Sài Gòn"")","Công ty con > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn (""Đông Sài Gòn"")","Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn (""Đông Sài Gòn"")",TPHCM,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
"Công ty Cổ phần Thương Tín Tàu Cước (""Tàu Cước"")","Công ty con > Công ty Cổ phần Thương Tín Tàu Cước (""Tàu Cước"")","Công ty Cổ phần Thương Tín Tàu Cước (""Tàu Cước"")",TPHCM,Đang hoạt động,Xây dựng và bất động sản,"99,90","99,90",,,,99.9,99.9
"Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín (""Dịch vụ Quản lý BĐS Sài Gòn"")","Công ty con > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín (""Dịch vụ Quản lý BĐS Sài Gòn"")","Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín (""Dịch vụ Quản lý BĐS Sài Gòn"")",TPHCM,Đang hoạt động,Kinh doanh bất động sản,"50,00","50,00",,,,50.0,50.0
"Công ty Cổ phần Mai Lan (""Mai Lan"")","Công ty con > Công ty Cổ phần Mai Lan (""Mai Lan"")","Công ty Cổ phần Mai Lan (""Mai Lan"")",TPHCM,Đang hoạt động,Dịch vụ,"90,17","90,17",,,,90.17,90.17
"Công ty TNHH Thương Tín – CJ Cầu Tre (""CJ Cầu Tre"")","Công ty con > Công ty TNHH Thương Tín – CJ Cầu Tre (""CJ Cầu Tre"")","Công ty TNHH Thương Tín – CJ Cầu Tre (""CJ Cầu Tre"")",TPHCM,Đang hoạt động,Dịch vụ,"74,00","74,00",,,,74.0,74.0
"Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm (""Hùng Anh Năm"")","Công ty con > Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm (""Hùng Anh Năm"")","Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm (""Hùng Anh Năm"")",TPHCM,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
"Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng (""Nguyễn Kim Đà Nẵng"")","Công ty con > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng (""Nguyễn Kim Đà Nẵng"")","Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng (""Nguyễn Kim Đà Nẵng"")",Đà Nẵng,Đang hoạt động,Bất động sản và dịch vụ thương mại,"95,10","95,17",,,,95.1,95.17
"Công ty TNHH MTV TTC Land Retail Management (""TTC Land Retail"")","Công ty con > Công ty TNHH MTV TTC Land Retail Management (""TTC Land Retail"")","Công ty TNHH MTV TTC Land Retail Management (""TTC Land Retail"")",TPHCM,Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
"Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc (""TTC Land Phú Quốc"")","Công ty con > Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc (""TTC Land Phú Quốc"")","Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc (""TTC Land Phú Quốc"")",Kiên Giang,Đang hoạt động,Bất động sản,"100,00","100,00",,,,100.0,100.0
"Công ty Cổ phần Đầu tư Bất động sản TTC Hưng Điền (""Hưng Điền"")","Công ty con > Công ty Cổ phần Đầu tư Bất động sản TTC Hưng Điền (""Hưng Điền"")","Công ty Cổ phần Đầu tư Bất động sản TTC Hưng Điền (""Hưng Điền"")",TPHCM,Đang hoạt động,Bất động sản,"61,00","61,00",,,,61.0,61.0
