row_label_raw,row_label_full,col_0,31/12/2022 > Tỷ lệ %sở hữu,31/12/2022 > Tỷ lệ %quyềnbiểu quyết,31/12/2022 > Giá gốcVND,31/12/2022 > Giá trịhợp lýVND,1/1/2022 > Tỷ lệ %sở hữu,1/1/2022 > Tỷ lệ %quyềnbiểu quyết,1/1/2022 > Giá gốcVND,1/1/2022 > Giá trịhợp lýVND,numeric__31/12/2022 > Tỷ lệ %sở hữu,numeric__31/12/2022 > Tỷ lệ %quyềnbiểu quyết,numeric__31/12/2022 > Giá gốcVND,numeric__31/12/2022 > Giá trịhợp lýVND,numeric__1/1/2022 > Tỷ lệ %sở hữu,numeric__1/1/2022 > Tỷ lệ %quyềnbiểu quyết,numeric__1/1/2022 > Giá gốcVND,numeric__1/1/2022 > Giá trịhợp lýVND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,,
Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty con > Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty CP Phát triển Nông nghiệp Hòa Phát,"99,999%","99,999%",3.099.975.000.000,,"99,999%","99,999%",3.099.975.000.000,,0.9999899999999999,0.9999899999999999,3099975000000.0,,0.9999899999999999,0.9999899999999999,3099975000000.0,
Công ty CP Gang thép Hòa Phát,Công ty con > Công ty CP Gang thép Hòa Phát,Công ty CP Gang thép Hòa Phát,"99,998%","99,998%",47.499.220.000.000,,"99,998%","99,998%",47.499.220.000.000,,0.9999800000000001,0.9999800000000001,47499220000000.0,,0.9999800000000001,0.9999800000000001,47499220000000.0,
Công ty CP Sản phẩm thép Hòa Phát,Công ty con > Công ty CP Sản phẩm thép Hòa Phát,Công ty CP Sản phẩm thép Hòa Phát,"99,994%","99,994%",5.499.650.000.000,,"99,994%","99,994%",5.499.650.000.000,,0.99994,0.99994,5499650000000.0,,0.99994,0.99994,5499650000000.0,
Công ty CP Phát triển Bất động sản Hòa Phát (i),Công ty con > Công ty CP Phát triển Bất động sản Hòa Phát (i),Công ty CP Phát triển Bất động sản Hòa Phát (i),"99,967%","99,967%",5.998.000.000.000,,"99,900%","99,900%",1.998.000.000.000,,0.99967,0.99967,5998000000000.0,,0.9990000000000001,0.9990000000000001,1998000000000.0,
Công ty CP Điện máy Gia dụng Hòa Phát (i),Công ty con > Công ty CP Điện máy Gia dụng Hòa Phát (i),Công ty CP Điện máy Gia dụng Hòa Phát (i),"99,900%","99,900%",999.000.000.000,,"99,900%","99,900%",382.000.000.000,,0.9990000000000001,0.9990000000000001,999000000000.0,,0.9990000000000001,0.9990000000000001,382000000000.0,
,,,,,63.095.845.000.000,,,,58.478.845.000.000,,,,63095845000000.0,,,,58478845000000.0,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,,,,,
Công ty CP Phát triển Đô thị Bắc Hà Nội,Đơn vị khác > Công ty CP Phát triển Đô thị Bắc Hà Nội,Công ty CP Phát triển Đô thị Bắc Hà Nội,7%,"7,99%",700.000.000,,7%,"7,99%",700.000.000,,0.07,0.0799,700000000.0,,0.07,0.0799,700000000.0,
,,,,,63.096.545.000.000 (*),,,,58.479.545.000.000 (*),,,,,,,,,
