row_label_raw,row_label_full,"b. Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, chia lợi nhuận",Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,4.305.950.360.000,3.956.617.750.000,4305950360000.0,3956617750000.0
Vốn góp đầu năm,Vốn góp đầu năm,Vốn góp đầu năm,3.956.617.750.000,3.956.617.750.000,3956617750000.0,3956617750000.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,349.332.610.000,-,349332610000.0,
Vốn góp cuối năm,Vốn góp cuối năm,Vốn góp cuối năm,4.305.950.360.000,3.956.617.750.000,4305950360000.0,3956617750000.0
"Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia",-,-,,
c. Cổ phiếu,c. Cổ phiếu,c. Cổ phiếu,31/12/2024,01/01/2024,,
Số lượng cổ phiếu được phép phát hành,c. Cổ phiếu > Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,430.595.036,395.661.775,430595036.0,395661775.0
Số lượng cổ phiếu đã phát hành và góp vốn,c. Cổ phiếu > Số lượng cổ phiếu đã phát hành và góp vốn,Số lượng cổ phiếu đã phát hành và góp vốn,430.595.036,395.661.775,430595036.0,395661775.0
Cổ phiếu phổ thông,c. Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,430.595.036,395.661.775,430595036.0,395661775.0
Số lượng cổ phiếu đang lưu hành,c. Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,430.595.036,395.661.775,430595036.0,395661775.0
Cổ phiếu phổ thông,c. Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,430.595.036,395.661.775,430595036.0,395661775.0
Mệnh giả cổ phiếu đang lưu hành: đồng Việt Nam/cổ phiếu.,c. Cổ phiếu > Mệnh giả cổ phiếu đang lưu hành: đồng Việt Nam/cổ phiếu.,Mệnh giả cổ phiếu đang lưu hành: đồng Việt Nam/cổ phiếu.,10.000,10.000,10000.0,10000.0
