row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Trong hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1đến 3 thángTriệu VND,Trong hạn > Từ trên 3đến 12 thángTriệu VND,Trong hạn > Từ trên 1đến 5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Trong hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1đến 3 thángTriệu VND,numeric__Trong hạn > Từ trên 3đến 12 thángTriệu VND,numeric__Trong hạn > Từ trên 1đến 5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,299.046,-,-,-,-,299.046,,,299046.0,,,,,299046.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,901.778,-,-,-,-,901.778,,,901778.0,,,,,901778.0
Tiền gửi và cho vay cáctổ chức tin dụng khác – gộp,Tài sản > Tiền gửi và cho vay cáctổ chức tin dụng khác – gộp,Tiền gửi và cho vay cáctổ chức tin dụng khác – gộp,-,-,1.890.239,1.200.000,-,-,-,3.090.239,,,1890239.0,1200000.0,,,,3090239.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),209.650,134.286,2.117.998,1.396.989,7.136.460,5.158.654,3.612.402,19.766.439,209650.0,134286.0,2117998.0,1396989.0,7136460.0,5158654.0,3612402.0,19766439.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,524.750,389.815,151.749,1.985.009,-,3.051.323,,,524750.0,389815.0,151749.0,1985009.0,,3051323.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,14.521,14.521,,,,,,,14521.0,14521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,759.233,556.246,1.315.479,,,,,,759233.0,556246.0,1315479.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,-,-,1.348.612,53.209,477.479,430.872,-,2.310.172,,,1348612.0,53209.0,477479.0,430872.0,,2310172.0
,,,209.650,134.286,7.082.423,3.040.013,7.765.688,8.333.768,4.183.169,30.748.997,209650.0,134286.0,7082423.0,3040013.0,7765688.0,8333768.0,4183169.0,30748997.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,200.928,-,-,-,-,200.928,,,200928.0,,,,,200928.0
Tiền gửi và vay cáctổ chức tin dụng khác,Nợ phải trả > Tiền gửi và vay cáctổ chức tin dụng khác,Tiền gửi và vay cáctổ chức tin dụng khác,-,-,1.719.852,1.650.937,34.603,70.991,1.092,3.477.475,,,1719852.0,1650937.0,34603.0,70991.0,1092.0,3477475.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,6.571.396,4.330.189,11.546.061,441.108,406,22.889.160,,,6571396.0,4330189.0,11546061.0,441108.0,406.0,22889160.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,519.559,-,-,-,-,519.559,,,519559.0,,,,,519559.0
,,,-,-,9.011.735,5.981.126,11.580.664,512.099,1.498,27.087.122,,,9011735.0,5981126.0,11580664.0,512099.0,1498.0,27087122.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,209.650,134.286,(1.929.312),(2.941.113),(3.814.976),7.821.669,4.181.671,3.661.875,209650.0,134286.0,-1929312.0,-2941113.0,-3814976.0,7821669.0,4181671.0,3661875.0
