row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2016 triệu đồng,31/12/2015 triệu đồng,numeric__Thuyết minh,numeric__31/12/2016 triệu đồng,numeric__31/12/2015 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,855.723,849.362,5.0,855723.0,849362.0
Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),6,4.015.092,6.891.501,6.0,4015092.0,6891501.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,7,9.152.035,761.774,7.0,9152035.0,761774.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,8.484.658,586.774,71.0,8484658.0,586774.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,667.377,175.000,72.0,667377.0,175000.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,,-,-,,,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,-,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Chứng khoán kinh doanh > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,11.331,76.363,,11331.0,76363.0
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,,59.164.341,47.024.555,,59164341.0,47024555.0
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,8,60.179.583,47.777.031,8.0,60179583.0,47777031.0
Dự phòng rủi ro cho vay khách hàng,Chứng khoán kinh doanh > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,9,(1.015.242),(752.476),9.0,-1015242.0,-752476.0
Chứng khoán đầu tư,Chứng khoán kinh doanh > Chứng khoán đầu tư,Chứng khoán đầu tư,10,26.669.664,26.041.403,10.0,26669664.0,26041403.0
