row_label_raw,row_label_full,STT,"(Mã) Ngành nghề đăng ký đầu tư, kinh doanh","numeric__(Mã) Ngành nghề đăng ký đầu tư, kinh doanh"
10,10,10,(Mã ngành 2391): Sân xuất sản phẩm chịu lửa. Chi tiết: Sân xuất vật liệu xây dựng,
11,11,11,"(Mã ngành 1040): Sân xuất dầu, mỡ động, thực vật",
12,12,12,(Mã ngành 4101): Xây dựng nhà để ở,
13,13,13,(Mã ngành 1061): Xay xát và sản xuất bột thô,
14,14,14,(Mã ngành 4102): Xây dựng nhà không để ở,
15,15,15,(Mã ngành 1062): Sân xuất tính bột và các sản phẩm từ tính bột,
16,16,16,(Mã ngành 8531): Đào tạo sơ cấp. Chi tiết: Đào tạo nghề,
17,17,17,(Mã ngành 4292): Xây dựng công trình khai khoáng,
18,18,18,"(Mã ngành 4620): Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống. Chi tiết: Bán buôn thức ăn và nguyên liệu làm thức ăn cho gia súc, gia cầm và thủy sản (Trừ việc thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối đối với các hàng hóa thuộc danh mục hàng hóa nhà dầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài không được quyền xuất khẩu, quyền nhập khẩu, quyền phân phối: Thuốc lá và xì gà, sách, báo và tạp chí, vật phẩm đã ghi hình, kim loại quý và đá quý, được phẩm, thuốc nổ, dầu thô và dầu đã qua chế biến, gạo, đường mía và đường cù cải).",
19,19,19,"(Mã ngành 6820): Tư vấn, môi gtơi, dấu giả bất động sản, dấu giả quyền sử dụng dấu. Chi tiết: Dịch vụ môi giới bất động sản; Chi tiết: Dịch vụ sản giao dịch bất động sản; Chi tiết: Dịch vụ tư vấn bất động sản.",
20,20,20,"(Mã ngành 4293): Xây dựng công trình chế biến, chế tạo",
21,21,21,"(Mã ngành 4212): Xây dựng công trình đường bộ. Chi tiết: Xây dựng công trình giao thông (cầu, đường, cống,...)",
22,22,22,(Mã ngành 4511): Bán buôn ô tô và xe có động cơ khác. Chi tiết: Bán buôn xe nâng,
23,23,23,"(Mã ngành 4291): Xây dựng công trình thủy. Chi tiết: Xây dựng công trình thủy lợi; Chi tiết: Xây dựng công trình ngầm dưới nước; Chi tiết: Xây dựng đường ống cấp thoát nước (Trừ truyền tải, điều độ hệ thống điện quốc gia; Xây dựng và vận hành thủy điện đa mục tiêu và điện hạt nhân có ý nghĩa đặc biệt quan trọng về kinh tế - xã hội)",
24,24,24,"(Mã ngành 4322): Lắp đặt hệ thống cấp, thoát nước, hệ thống sưới và điều hoà không khí",
25,25,25,"(Mã ngành 4663): Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng. Chi tiết: Mua bán vật liệu xây dựng; Chi tiết: Sản xuất và mua bán tràm xây dựng",
26,26,26,"(Mã ngành 4632): Bán buôn thực phẩm. Chi tiết: Mua bán cá và thủy sản; Chi tiết: Mua bán thực phẩm, thủy sản và sản phẩm thủy sản đã qua chế biến; dầu, mỡ, động thực vật (Trừ việc thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối đối với các hàng hóa thuộc danh mục hàng hóa nhà dầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài không được quyền xuất khẩu, quyền nhập khẩu, quyền phân phối: Thuốc lá và xì gà, sách, báo và tạp chí, vật phẩm đã ghi hình, kim loại quý và đá quý, được phẩm, thuốc nổ, dầu thô và dầu đã qua chế biến, gạo, đường mía và đường cù cải).",
27,27,27,"(Mã ngành 5510): Dịch vụ lưu trú ngắn ngày. Chi tiết: Kinh doanh dịch vụ khách sạn, nhà hàng",
28,28,28,(Mã ngành 0322): Nuôi trồng thuy sân nội địa. Chi tiết: Nuôi trồng thuy sân,
29,29,29,"(Mã ngành 1020): Chế biến, bảo quản thuy sân và các sản phẩm từ thuy sân. Chi tiết: Chế biến thuy sân",
30,30,30,(Mã ngành 4312): Chuẩn bị mặt bằng. Chi tiết: San lắp mặt bằng,
31,31,31,"(Mã ngành 0810): Khai thác đá, cát, sỏi, đất sét. Chi tiết: Khai thác cát, sỏi",
32,32,32,"(Mã ngành 8710): Hoạt động của các cơ sở nuôi dưỡng, điều dưỡng. Chi tiết: Kinh doanh nhà nghỉ dưỡng lão",
33,33,33,"(Mã ngành 5610): Nhà hàng và các dịch vụ ăn uống phục vụ lưu động. Chi tiết: Kinh doanh dịch vụ ăn uống, giải khát Chi tiết: Dịch vụ nhà hàng - quán bar, phục vụ nhạc sống và ca múa nhạc (không hoạt động tại trụ sở chính)",
