row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Dưới 1 tháng,Từ 1 đến3 tháng,Từ trên 3đến 6 tháng,Từ trên 6đến 12 tháng,Từ trên 1đến 5 năm,Trên 5 năm,numeric__Dưới 1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ trên 3đến 6 tháng,numeric__Từ trên 6đến 12 tháng,numeric__Từ trên 1đến 5 năm,numeric__Trên 5 năm
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 0,65%","0,20% - 3,50%",(*),"5,50% - 6,80%","5,50% - 8,00%",(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,25%","0,30%",(*),(*),(*),(*),,0.003,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"6,30% - 29,00%","3,70% - 25,90%","4,99% - 13,00%","4,50% - 22,15%","4,82% - 29,19%","4,81% - 12,50%",,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"5,10%","2,10% - 6,90%","2,20% - 5,10%","3,20% - 7,50%","3,70%",(*),0.051,,,,0.037000000000000005,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),"7,30% - 8,00%","2,90% - 6,50%","2,30% - 11,50%",,,,,,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,,,,,,,,,,,,
▪ VND,Tài sản Có khác > ▪ VND,▪ VND,"0,20%",(*),(*),"7,50% - 8,60%",(*),(*),0.002,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các TCTD khác > ▪ VND,▪ VND,"0,00% - 0,50%","0,28% - 7,30%","6,30% - 6,70%","6,59%",(*),(*),,,,0.0659,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,20%","0,35% - 1,18%","0,90% - 1,36%",(*),(*),(*),,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 5,70%","0,00% - 5,30%","0,00% - 8,10%","0,00% - 7,50%","0,00% - 8,30%",(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00%","0,00% - 0,10%","0,00%","0,00%","0,00%",(*),0.0,,0.0,0.0,0.0,
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),"4,18% - 5,08%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),"6,00% - 8,55%","6,00% - 8,00%","7,35% - 8,50%",,,,,,
Nợ phải trả khác,Nợ phải trả khác,Nợ phải trả khác,,,,,,,,,,,,
▪ VND,Nợ phải trả khác > ▪ VND,▪ VND,(*),(*),(*),"7,20%",(*),(*),,,,0.07200000000000001,,
