row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,7.159.328.277,428.807.883.644,420.308.093.350,-,15.659.118.571,,7159328277.0,428807883644.0,420308093350.0,,15659118571.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,22.026.814.952,22.026.814.952,-,-,,,22026814952.0,22026814952.0,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,17.495.531.771,244.579.777.968,245.303.161.369,-,16.772.148.370,,17495531771.0,244579777968.0,245303161369.0,,16772148370.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,-,772.921.662,772.921.662,-,-,,,772921662.0,772921662.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,118.060.348,95.488.565.216,263.301.665.333,245.637.015.090,-,113.035.155.111,118060348.0,95488565216.0,263301665333.0,245637015090.0,,113035155111.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,79.279.529,72.799.085,45.611.381.470,45.535.661.169,-,69.239.857,79279529.0,72799085.0,45611381470.0,45535661169.0,,69239857.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,178.539.230,2.126.682.623,2.131.300.323,-,173.921.530,,178539230.0,2126682623.0,2131300323.0,,173921530.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.919.505.495,-,4.446.137.746,3.268.014.335,741.382.084,-,1919505495.0,,4446137746.0,3268014335.0,741382084.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,28.782.983,-,1.213.640.461,1.183.470.948,-,1.386.530,28782983.0,,1213640461.0,1183470948.0,,1386530.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,11.077.250,168.981.250,169.374.250,-,10.684.250,,11077250.0,168981250.0,169374250.0,,10684250.0
Cộng,Cộng,Cộng,2.145.628.355,120.405.840.829,1.013.055.887.109,986.335.827.448,741.382.084,145.721.654.219,2145628355.0,120405840829.0,1013055887109.0,986335827448.0,741382084.0,145721654219.0
